date,time,bri,ct,cct_in,cct,lcone_lux,mcone_lux,mlux,plux,rhlux,scone_lux
27/09/2022,09:30:42,110,267,3750,3387.29,63.764685452328166,53.2775541715214,34.320837355189305,63.33272967829304,38.8973082336549,27.944117347905497
27/09/2022,09:31:09,110,263,3800,3389.75,63.03346116257377,52.677817297954064,33.93003321828011,62.610967111729735,38.45867720556052,27.657075320442456
27/09/2022,09:31:26,110,260,3850,3437.22,64.91929821984091,54.53999847404257,35.24376147115841,64.56966639151057,39.96030339153925,28.71103584273564
27/09/2022,09:31:43,110,256,3900,3576.06,65.98107032918627,56.223342365777945,37.14769196990136,65.78787171196548,41.906339703421665,30.67714739064634
27/09/2022,09:32:00,110,253,3950,3699.45,66.74607745965302,57.55773102490692,38.712857690204245,66.69268514834917,43.50105308317298,32.316734732081436
27/09/2022,09:32:17,110,250,4000,3809.29,66.28981881752868,57.66539609157469,39.70934802845,66.283145542792,44.28738535147948,34.15656219529443
27/09/2022,09:32:39,110,247,4050,3881.06,65.92055940429692,57.69011271257063,40.17144256159094,65.97051927447124,44.6743758265925,34.897541640974595
27/09/2022,09:32:56,110,244,4100,3981.01,65.47711111794123,57.749054870822164,40.832512793521964,65.59453382855064,45.220127122701015,36.07113653181129
27/09/2022,09:33:13,110,241,4150,4085.04,64.59268330960246,57.43204143998426,41.16603695545571,64.78986164094283,45.449678665283486,36.81634573584629
27/09/2022,09:33:30,110,238,4200,4123.69,64.7005050230135,57.719182920529754,41.331697415878146,64.96716885084034,45.688792157452575,36.99032304984248
27/09/2022,09:33:47,110,235,4250,4204.92,63.44660412548588,56.91517010823866,41.311438675004005,63.74165771630566,45.50213773520517,37.50571302624013
27/09/2022,09:34:14,110,233,4300,4211.94,63.465929869452395,56.97787800748504,41.27007601858983,63.786154407502366,45.50089532388217,37.38764284936477
27/09/2022,09:34:31,110,230,4350,4215.92,63.1618150397472,56.72495676018958,41.11924045728743,63.482775382528914,45.32695477807669,37.23537901572744
27/09/2022,09:34:48,110,227,4400,4245.1,61.26862563878142,55.11127448876033,40.225503650407056,61.57601793664799,44.24601253703034,36.742051596822485
27/09/2022,09:35:05,110,225,4450,4280.28,61.76779396824196,55.73112509247152,40.623997438180744,62.139052200964436,44.74163400584131,37.05326652454317
27/09/2022,09:35:22,110,222,4500,4289.84,61.23344632120193,55.28589450968222,40.37379409928667,61.60545310963878,44.44721258291655,36.863022026111906
27/09/2022,09:35:43,110,220,4550,4281.96,60.66647935556418,54.72313107688774,40.090649058403756,61.0036389529874,44.073532245171876,36.68546797282777
27/09/2022,09:36:00,110,217,4600,4322.93,59.9021774641217,54.21063772918536,39.82906222039552,60.28079551103967,43.78673578993637,36.45769476030078
27/09/2022,09:36:17,110,215,4650,4363.48,59.605496918198526,54.11980471417315,39.84686582291995,60.029538271219366,43.80695207159138,36.437109757285384
27/09/2022,09:36:34,110,213,4700,4439.44,59.63372783526483,54.45127537619371,40.24829681463542,60.135571952537525,44.22808856425269,36.90338593623887
27/09/2022,09:36:51,110,211,4750,4410.81,58.761942561185016,53.55328729548588,39.58965846953917,59.22924159113534,43.51138391913148,36.181433818897375
27/09/2022,14:06:27,110,208,4800,4491.43,57.539790148480755,52.74763798275945,39.16043604445726,58.07789772882374,43.01545442400369,35.894133815956295
27/09/2022,14:06:44,110,206,4850,4464.07,56.537076386400344,51.7331912977276,38.387991847769364,57.05027945363537,42.19263262249854,35.11385707724797
27/09/2022,14:07:01,110,204,4900,4474.25,56.192203390748546,51.44509591503704,38.20891099781803,56.70852140322172,41.985155716929214,35.03469215336571
27/09/2022,14:07:18,110,202,4950,4506.34,55.828225546328966,51.21953360867755,38.20308649537478,56.35515182603139,41.92958553894071,35.113023260136394
27/09/2022,14:07:35,110,200,5000,4531.99,55.38903767734966,50.880556563851634,38.107487396330825,55.91185226641221,41.75866556896514,35.216035380483376
27/09/2022,14:07:52,110,198,5050,4580.22,55.093698809543184,50.74049233960997,38.24316343109168,55.63161387432973,41.84385568865671,35.66265762847744
27/09/2022,14:08:09,110,196,5100,4578.18,55.16366269432719,50.81177419882393,38.2821765525994,55.71126879773146,41.92503880268258,35.65468414885923
27/09/2022,14:08:27,110,194,5150,4641.18,54.8531554673488,50.77233895075633,38.35268786813641,55.46988558415668,42.05050181477796,35.705489033250466
27/09/2022,14:08:44,110,192,5200,4669.45,54.646292840083476,50.69925823950794,38.29012486383385,55.30483043921804,42.033369370958695,35.61110984423308
27/09/2022,14:09:01,110,190,5250,4678.1,54.016414509755705,50.074869013253576,38.03524739724075,54.62923939130733,41.624754680820764,35.73298164628092
27/09/2022,14:09:18,110,189,5300,4734.21,53.207999680726715,49.463864455756614,37.889245316539984,53.82055702096232,41.36417653870411,35.9262368846769
27/09/2022,14:09:35,110,187,5350,4762.13,52.772053084956156,49.08054965690381,37.93833371731564,53.34520243435147,41.27968649835118,36.363543955478846
27/09/2022,14:09:52,110,185,5400,4819.99,52.20685244699011,48.768273371749196,37.80040390963707,52.83389206787109,41.172554519180444,36.17030247047058
27/09/2022,14:10:09,110,183,5450,4850.84,51.349442779639986,47.93480545784105,37.479973364288476,51.920433530057466,40.62440052824354,36.559844558261965
27/09/2022,14:10:26,110,182,5500,4873.92,51.18548024903143,47.86229596962413,37.42639901867748,51.784721558358804,40.60275806261099,36.51592232168423
27/09/2022,14:10:43,110,180,5550,5068.81,50.08761054919694,47.218169488959106,38.0740420213484,50.65926845711491,40.954873520535536,38.21046757942206
27/09/2022,14:11:00,110,179,5600,5104.92,49.402569495724606,46.65189825878462,37.798424263904955,49.96947577222394,40.606866094407245,38.036389618524
27/09/2022,14:11:18,110,177,5650,5126.92,48.992340876477094,46.25830297965958,37.633475180828256,49.53276644408214,40.34134900161713,38.21342551381062
27/09/2022,14:11:35,110,175,5700,5225.86,48.134301577805175,45.660982666786076,37.47259450792368,48.698968316813676,40.115900596596504,38.3697379002785
